0;-68
0,01;-56
0,02;-42
0,03;-30
0,04;-18
0,05;-6
0,06;4
0,07;16
0,08;24
0,09;32
0,1;38
0,11;42
0,12;46
0,13;46
0,14;44
0,15;42
0,16;38
0,17;34
0,18;28
0,19;20
0,2;12
0,21;6
0,22;-2
0,23;-10
0,24;-16
0,25;-22
0,26;-26
0,27;-30
0,28;-32
0,29;-34
0,3;-34
0,31;-34
0,32;-32
0,33;-30
0,34;-26
0,35;-22
0,36;-18
0,37;-14
0,38;-10
0,39;-4
0,4;0
0,41;4
0,42;8
0,43;12
0,44;16
0,45;18
0,46;18
0,47;20
0,48;18
0,49;18
0,5;16
0,51;14
0,52;12
0,53;8
0,54;6
0,55;4
0,56;0
0,57;-2
0,58;-4
0,59;-6
0,6;-6
0,61;-8
0,62;-8
0,63;-10
0,64;-10
0,65;-10
0,66;-10
0,67;-8
0,68;-8
0,69;-6
0,7;-4
0,71;-4
0,72;-2
0,73;0
0,74;0
0,75;2
0,76;2
0,77;2
0,78;2
0,79;2
0,8;2
0,81;2
0,82;2
0,83;2
0,84;0
0,85;0
0,86;0
0,87;0
0,88;0
0,89;0
0,9;0
0,91;0
0,92;0
0,93;0
0,94;0
0,95;0
0,96;0
0,97;0
0,98;0
0,99;0
1;0
1,01;0
1,02;0
1,03;0
1,04;0
1,05;0
1,06;0
1,07;0
1,08;0
1,09;0
1,1;0
1,11;0
1,12;0
1,13;0
1,14;0
1,15;0
1,16;0
1,17;0
1,18;0
1,19;0
1,2;0
1,21;0
1,22;0
1,23;0
1,24;0
1,25;0
1,26;0
1,27;0
1,28;0
1,29;0
1,3;0
1,31;0
1,32;0
1,33;0
1,34;0
1,35;0
1,36;0
1,37;0
1,38;0
1,39;0
1,4;0
1,41;0
1,42;0
1,43;0
1,44;0
1,45;0
1,46;0
1,47;0
1,48;0
1,49;0
1,5;0
1,51;0
1,52;0
1,53;0
1,54;0
1,55;0
1,56;0
1,57;0
1,58;0
1,59;0
1,6;0
1,61;0
1,62;0
1,63;0
1,64;0
1,65;0
1,66;0
1,67;0
1,68;0
1,69;0
1,7;0
1,71;0
1,72;0
1,73;0
1,74;0
1,75;0
1,76;0
1,77;0
1,78;0
1,79;0
1,8;0
1,81;0
1,82;0
1,83;0
1,84;0
1,85;0
1,86;0
1,87;0
1,88;0
1,89;0
1,9;0
1,91;0
1,92;0
1,93;0
1,94;0
1,95;0
1,96;0
1,97;0
1,98;0
1,99;0
2;0
2,01;0
2,02;0
2,03;0
2,04;0
2,05;0
2,06;0
2,07;0
2,08;0
2,09;0
2,1;0
2,11;0
2,12;0
2,13;0
2,14;0
2,15;0
2,16;0
2,17;0
2,18;0
2,19;0
2,2;0
2,21;0
2,22;0
2,23;0
2,24;0
2,25;0
2,26;0
2,27;0
2,28;0
2,29;0
2,3;0
2,31;0
2,32;0
2,33;0
2,34;0
2,35;0
2,36;0
2,37;0
2,38;0
2,39;0
2,4;0
2,41;0
2,42;0
2,43;0
2,44;0
2,45;0
2,46;0
2,47;0
2,48;0
2,49;0
